objet,acheteur_nom,titulaire_nom,montant_rationalise,montant_anomalie,dateNotification
Fourniture de prothèses chirurgicales et dispositifs médicaux  2022chro0014 - STIMULATEUR CARDIAQUE DOUBLE CHAMBRE marché n° 232-036,CENTRE HOSPITALIER UNIVERSITAIRE D ORLEANS (HOPITAL MADELEINE ORLEANS),MEDTRONIC FRANCE,373284.0,,2025-01-20
"DMS 2024-01 AO091 Dispositifs Médicaux Stériles à usage unique pour : Angioplastie, radiologie, cardiologie, Implants toutes spécialités et ostéosynthèse, Sutures manuelles et mécaniques, Dispositifs non implantables, housses microscope et microsponges - CATHETER GUIDE TOUTES DIMENSIONS  ET TOUTES COURBURES",CENTRE HOSPITALIER UNIVERSITAIRE,MEDTRONIC FRANCE,475200.0,,2025-01-01
"DMS 2024-01 AO091 Dispositifs Médicaux Stériles à usage unique pour : Angioplastie, radiologie, cardiologie, Implants toutes spécialités et ostéosynthèse, Sutures manuelles et mécaniques, Dispositifs non implantables, housses microscope et microsponges - DISPOSITIF POUR DISCECTOMIE",CENTRE HOSPITALIER UNIVERSITAIRE,STRYKER FRANCE SA,11000.0,,2025-01-01
"DMS 2024-01 AO091 Dispositifs Médicaux Stériles à usage unique pour : Angioplastie, radiologie, cardiologie, Implants toutes spécialités et ostéosynthèse, Sutures manuelles et mécaniques, Dispositifs non implantables, housses microscope et microsponges - ENDOPROTHESE CAROTIDIENNE",CENTRE HOSPITALIER UNIVERSITAIRE,BOSTON SCIENTIFIC,8874.0,,2025-01-01
"DMS 2024-01 AO091 Dispositifs Médicaux Stériles à usage unique pour : Angioplastie, radiologie, cardiologie, Implants toutes spécialités et ostéosynthèse, Sutures manuelles et mécaniques, Dispositifs non implantables, housses microscope et microsponges - ENDOPROTHESE CAROTIDIENNE",CENTRE HOSPITALIER UNIVERSITAIRE,MEDTRONIC FRANCE,44372.0,,2025-01-01
"DMS 2024-01 AO091 Dispositifs Médicaux Stériles à usage unique pour : Angioplastie, radiologie, cardiologie, Implants toutes spécialités et ostéosynthèse, Sutures manuelles et mécaniques, Dispositifs non implantables, housses microscope et microsponges - IMPLANT ENDOVASCULAIRE ACIER COUVERT POLYTETRAFLUOROETHYLENE EXPANSIBLE PAR BALLONNET",CENTRE HOSPITALIER UNIVERSITAIRE,GETINGE FRANCE,202084.0,,2025-01-01
"DMS 2024-01 AO091 Dispositifs Médicaux Stériles à usage unique pour : Angioplastie, radiologie, cardiologie, Implants toutes spécialités et ostéosynthèse, Sutures manuelles et mécaniques, Dispositifs non implantables, housses microscope et microsponges - ENDOPROTHESE AORTIQUE COUVERTE POLYESTER AUTO EXPANSIBLE",CENTRE HOSPITALIER UNIVERSITAIRE,MEDTRONIC FRANCE,886390.0,,2025-01-01
"DMS 2024-01 AO091 Dispositifs Médicaux Stériles à usage unique pour : Angioplastie, radiologie, cardiologie, Implants toutes spécialités et ostéosynthèse, Sutures manuelles et mécaniques, Dispositifs non implantables, housses microscope et microsponges - IMPLANT MENISCAL",CENTRE HOSPITALIER UNIVERSITAIRE,STRYKER FRANCE SA,250146.0,,2025-01-01
"DMS 2024-01 AO091 Dispositifs Médicaux Stériles à usage unique pour : Angioplastie, radiologie, cardiologie, Implants toutes spécialités et ostéosynthèse, Sutures manuelles et mécaniques, Dispositifs non implantables, housses microscope et microsponges - MICROCATHETER DIAMETRE DISTAL 2F A 2,8F",CENTRE HOSPITALIER UNIVERSITAIRE,BOSTON SCIENTIFIC,72400.0,,2025-01-01
"DMS 2024-01 AO091 Dispositifs Médicaux Stériles à usage unique pour : Angioplastie, radiologie, cardiologie, Implants toutes spécialités et ostéosynthèse, Sutures manuelles et mécaniques, Dispositifs non implantables, housses microscope et microsponges - GUIDE AMPLATZ SUPERSTIFF DROIT .035",CENTRE HOSPITALIER UNIVERSITAIRE,BOSTON SCIENTIFIC,12200.0,,2025-01-01
"DMS 2024-01 AO091 Dispositifs Médicaux Stériles à usage unique pour : Angioplastie, radiologie, cardiologie, Implants toutes spécialités et ostéosynthèse, Sutures manuelles et mécaniques, Dispositifs non implantables, housses microscope et microsponges - MICROGUIDE REVETEMENT HYDROPHILE",CENTRE HOSPITALIER UNIVERSITAIRE,STRYKER FRANCE SA,93864.0,,2025-01-01
"DMS 2024-01 AO091 Dispositifs Médicaux Stériles à usage unique pour : Angioplastie, radiologie, cardiologie, Implants toutes spécialités et ostéosynthèse, Sutures manuelles et mécaniques, Dispositifs non implantables, housses microscope et microsponges - GUIDE HYDROPHILE POUR URETEROSCOPIE",CENTRE HOSPITALIER UNIVERSITAIRE,BOSTON SCIENTIFIC,4989.6,,2025-01-01
"DMS 2024-01 AO091 Dispositifs Médicaux Stériles à usage unique pour : Angioplastie, radiologie, cardiologie, Implants toutes spécialités et ostéosynthèse, Sutures manuelles et mécaniques, Dispositifs non implantables, housses microscope et microsponges - GUIDE J 3MM et 6MM diamètr.018 à .038",CENTRE HOSPITALIER UNIVERSITAIRE,BOSTON SCIENTIFIC,188820.0,,2025-01-01
"DMS 2024-01 AO091 Dispositifs Médicaux Stériles à usage unique pour : Angioplastie, radiologie, cardiologie, Implants toutes spécialités et ostéosynthèse, Sutures manuelles et mécaniques, Dispositifs non implantables, housses microscope et microsponges - GUIDE DROIT . 018 à .038 IN AME FIXE",CENTRE HOSPITALIER UNIVERSITAIRE,BOSTON SCIENTIFIC,7740.0,,2025-01-01
"DMS 2024-01 AO091 Dispositifs Médicaux Stériles à usage unique pour : Angioplastie, radiologie, cardiologie, Implants toutes spécialités et ostéosynthèse, Sutures manuelles et mécaniques, Dispositifs non implantables, housses microscope et microsponges - INTRODUCTEUR SANS VALVE 5F A 9F GAINE PELABLE",CENTRE HOSPITALIER UNIVERSITAIRE,BOSTON SCIENTIFIC,94400.0,,2025-01-01
"DMS 2024-01 AO091 Dispositifs Médicaux Stériles à usage unique pour : Angioplastie, radiologie, cardiologie, Implants toutes spécialités et ostéosynthèse, Sutures manuelles et mécaniques, Dispositifs non implantables, housses microscope et microsponges - SYSTÈME ATHERECTOMIE ROTATIONNELLE",CENTRE HOSPITALIER UNIVERSITAIRE,BOSTON SCIENTIFIC,134040.0,,2025-01-01
"DMS 2024-01 AO091 Dispositifs Médicaux Stériles à usage unique pour : Angioplastie, radiologie, cardiologie, Implants toutes spécialités et ostéosynthèse, Sutures manuelles et mécaniques, Dispositifs non implantables, housses microscope et microsponges - CATHETER D’OCCLUSION 7F A LARGE BALLONNET",CENTRE HOSPITALIER UNIVERSITAIRE,BOSTON SCIENTIFIC,16400.0,,2025-01-01
"DMS 2024-01 AO091 Dispositifs Médicaux Stériles à usage unique pour : Angioplastie, radiologie, cardiologie, Implants toutes spécialités et ostéosynthèse, Sutures manuelles et mécaniques, Dispositifs non implantables, housses microscope et microsponges - SYSTEME DE PROTECTION CEREBRALE",CENTRE HOSPITALIER UNIVERSITAIRE,MEDTRONIC FRANCE,8268.0,,2025-01-01
"DMS 2024-01 AO091 Dispositifs Médicaux Stériles à usage unique pour : Angioplastie, radiologie, cardiologie, Implants toutes spécialités et ostéosynthèse, Sutures manuelles et mécaniques, Dispositifs non implantables, housses microscope et microsponges - IMPLANT ENDOVASCULAIRE PERIPHERIQUE NU",CENTRE HOSPITALIER UNIVERSITAIRE,GETINGE FRANCE,187296.0,,2025-01-01
"DMS 2024-01 AO091 Dispositifs Médicaux Stériles à usage unique pour : Angioplastie, radiologie, cardiologie, Implants toutes spécialités et ostéosynthèse, Sutures manuelles et mécaniques, Dispositifs non implantables, housses microscope et microsponges - IMPLANT ENDOVASCULAIRE PERIPHERIQUE NU",CENTRE HOSPITALIER UNIVERSITAIRE,BOSTON SCIENTIFIC,24644.0,,2025-01-01
"DMS 2024-01 AO091 Dispositifs Médicaux Stériles à usage unique pour : Angioplastie, radiologie, cardiologie, Implants toutes spécialités et ostéosynthèse, Sutures manuelles et mécaniques, Dispositifs non implantables, housses microscope et microsponges - POMPE IMPLANTABLE PROGRAMMABLE A DEBIT VARIABLE",CENTRE HOSPITALIER UNIVERSITAIRE,MEDTRONIC FRANCE,388776.0,,2025-01-01
"DMS 2024-01 AO091 Dispositifs Médicaux Stériles à usage unique pour : Angioplastie, radiologie, cardiologie, Implants toutes spécialités et ostéosynthèse, Sutures manuelles et mécaniques, Dispositifs non implantables, housses microscope et microsponges - NEUROSTIMULATEUR MEDULLAIRE IMPLANTABLE",CENTRE HOSPITALIER UNIVERSITAIRE,MEDTRONIC FRANCE,483466.96,,2025-01-01
"DMS 2024-01 AO091 Dispositifs Médicaux Stériles à usage unique pour : Angioplastie, radiologie, cardiologie, Implants toutes spécialités et ostéosynthèse, Sutures manuelles et mécaniques, Dispositifs non implantables, housses microscope et microsponges - IMPLANT OSSEUX SUR MESURE, RECONSTRUCTION VOÛTE CRÂNIENNE",CENTRE HOSPITALIER UNIVERSITAIRE,STRYKER FRANCE SA,218010.0,,2025-01-01
"DMS 2024-01 AO091 Dispositifs Médicaux Stériles à usage unique pour : Angioplastie, radiologie, cardiologie, Implants toutes spécialités et ostéosynthèse, Sutures manuelles et mécaniques, Dispositifs non implantables, housses microscope et microsponges - SYSTEME POUR EMBOLISATION",CENTRE HOSPITALIER UNIVERSITAIRE,MEDTRONIC FRANCE,104807.0,,2025-01-01
"DMS 2024-01 AO091 Dispositifs Médicaux Stériles à usage unique pour : Angioplastie, radiologie, cardiologie, Implants toutes spécialités et ostéosynthèse, Sutures manuelles et mécaniques, Dispositifs non implantables, housses microscope et microsponges - MICROCATHETER ARME SOUPLESSE PROGRESSIVE",CENTRE HOSPITALIER UNIVERSITAIRE,STRYKER FRANCE SA,56000.0,,2025-01-01
"DMS 2024-01 AO091 Dispositifs Médicaux Stériles à usage unique pour : Angioplastie, radiologie, cardiologie, Implants toutes spécialités et ostéosynthèse, Sutures manuelles et mécaniques, Dispositifs non implantables, housses microscope et microsponges - SYSTÈME INTRACRANIEN DE THROMBECTOMIE MECANIQUE",CENTRE HOSPITALIER UNIVERSITAIRE,MEDTRONIC FRANCE,232320.0,,2025-01-01
"DMS 2024-01 AO091 Dispositifs Médicaux Stériles à usage unique pour : Angioplastie, radiologie, cardiologie, Implants toutes spécialités et ostéosynthèse, Sutures manuelles et mécaniques, Dispositifs non implantables, housses microscope et microsponges - SYSTÈME INTRACRANIEN DE THROMBECTOMIE MECANIQUE",CENTRE HOSPITALIER UNIVERSITAIRE,STRYKER FRANCE SA,232320.0,,2025-01-01
"DMS 2024-01 AO091 Dispositifs Médicaux Stériles à usage unique pour : Angioplastie, radiologie, cardiologie, Implants toutes spécialités et ostéosynthèse, Sutures manuelles et mécaniques, Dispositifs non implantables, housses microscope et microsponges - SYSTEME INTRACRANIEN DE THROMBECTOMIE MECANIQUE",CENTRE HOSPITALIER UNIVERSITAIRE,JOHNSON & JOHNSON MEDICAL SAS,69696.0,,2025-01-01
"DMS 2024-01 AO091 Dispositifs Médicaux Stériles à usage unique pour : Angioplastie, radiologie, cardiologie, Implants toutes spécialités et ostéosynthèse, Sutures manuelles et mécaniques, Dispositifs non implantables, housses microscope et microsponges - SYSTÈME INTRACRANIEN DE THROMBECTOMIE PAR ASPIRATION",CENTRE HOSPITALIER UNIVERSITAIRE,STRYKER FRANCE SA,79461.9,,2025-01-01
"DMS 2024-01 AO091 Dispositifs Médicaux Stériles à usage unique pour : Angioplastie, radiologie, cardiologie, Implants toutes spécialités et ostéosynthèse, Sutures manuelles et mécaniques, Dispositifs non implantables, housses microscope et microsponges - SYSTÈME INTRACRANIEN DE THROMBECTOMIE PAR ASPIRATION",CENTRE HOSPITALIER UNIVERSITAIRE,JOHNSON & JOHNSON MEDICAL SAS,159600.0,,2025-01-01
"DMS 2024-01 AO091 Dispositifs Médicaux Stériles à usage unique pour : Angioplastie, radiologie, cardiologie, Implants toutes spécialités et ostéosynthèse, Sutures manuelles et mécaniques, Dispositifs non implantables, housses microscope et microsponges - ENDOPROTHESE EMBOLISATION ARTERE DEVIATEUR DE FLUX SANGUIN INTRACRANIEN",CENTRE HOSPITALIER UNIVERSITAIRE,MEDTRONIC FRANCE,366914.0,,2025-01-01
"DMS 2024-01 AO091 Dispositifs Médicaux Stériles à usage unique pour : Angioplastie, radiologie, cardiologie, Implants toutes spécialités et ostéosynthèse, Sutures manuelles et mécaniques, Dispositifs non implantables, housses microscope et microsponges - MICROSPIRE D’EMBOLISATION D’ANEVRISME ARTERIEL",CENTRE HOSPITALIER UNIVERSITAIRE,STRYKER FRANCE SA,286914.0,,2025-01-01
"DMS 2024-01 AO091 Dispositifs Médicaux Stériles à usage unique pour : Angioplastie, radiologie, cardiologie, Implants toutes spécialités et ostéosynthèse, Sutures manuelles et mécaniques, Dispositifs non implantables, housses microscope et microsponges - CATHETER GUIDE ARME 5F-6F ET 7F 90-100 cm",CENTRE HOSPITALIER UNIVERSITAIRE,JOHNSON & JOHNSON MEDICAL SAS,4160.0,,2025-01-01
"DMS 2024-01 AO091 Dispositifs Médicaux Stériles à usage unique pour : Angioplastie, radiologie, cardiologie, Implants toutes spécialités et ostéosynthèse, Sutures manuelles et mécaniques, Dispositifs non implantables, housses microscope et microsponges - CATHETER GUIDE ARME 6F LONGUEUR 105CM",CENTRE HOSPITALIER UNIVERSITAIRE,JOHNSON & JOHNSON MEDICAL SAS,39500.0,,2025-01-01
"DMS 2024-01 AO091 Dispositifs Médicaux Stériles à usage unique pour : Angioplastie, radiologie, cardiologie, Implants toutes spécialités et ostéosynthèse, Sutures manuelles et mécaniques, Dispositifs non implantables, housses microscope et microsponges - CATHETER DILATATION PERIPHERIQUE  LARGE VAISSEAU",CENTRE HOSPITALIER UNIVERSITAIRE,BOSTON SCIENTIFIC,7200.0,,2025-01-01
"DMS 2024-01 AO091 Dispositifs Médicaux Stériles à usage unique pour : Angioplastie, radiologie, cardiologie, Implants toutes spécialités et ostéosynthèse, Sutures manuelles et mécaniques, Dispositifs non implantables, housses microscope et microsponges - IMPLANT RECONSTRUCTION ORBITAIRE",CENTRE HOSPITALIER UNIVERSITAIRE,JOHNSON & JOHNSON MEDICAL SAS,33281.0,,2025-01-01
"DMS 2024-01 AO091 Dispositifs Médicaux Stériles à usage unique pour : Angioplastie, radiologie, cardiologie, Implants toutes spécialités et ostéosynthèse, Sutures manuelles et mécaniques, Dispositifs non implantables, housses microscope et microsponges - CATHETER DILATATION CORONAIRE BALLONNET",CENTRE HOSPITALIER UNIVERSITAIRE,BOSTON SCIENTIFIC,36000.0,,2025-01-01
"DMS 2024-01 AO091 Dispositifs Médicaux Stériles à usage unique pour : Angioplastie, radiologie, cardiologie, Implants toutes spécialités et ostéosynthèse, Sutures manuelles et mécaniques, Dispositifs non implantables, housses microscope et microsponges - CATHETER CORONAIRE A BALLONNET COAXIAL (OTW) COMPATIBLE GUIDE 0,014",CENTRE HOSPITALIER UNIVERSITAIRE,BOSTON SCIENTIFIC,32000.0,,2025-01-01
"Fourniture de Dispositifs Médicaux Implantables: Orthopédie et Traumatologie lots 12,29,44,51",CENTRE HOSPITALIER VERDUN SAINT MIHIEL,STRYKER FRANCE SA,1795286.0,,2024-12-31
"Fourniture de Dispositifs Médicaux Implantables: Orthopédie et Traumatologie - Relance de lots - Lots 5, 20 et 28",CENTRE HOSPITALIER VERDUN SAINT MIHIEL,ZIMMER BIOMET FRANCE,3225898.0,,2024-12-30
"DMS 2024-01 AO091 Dispositifs Médicaux Stériles à usage unique pour : Angioplastie, radiologie, cardiologie, Implants toutes spécialités et ostéosynthèse, Sutures manuelles et mécaniques, Dispositifs non implantables, housses microscope et microsponges - ENDOPROTHESE CORONAIRE A LIBERATION CONTROLEE DE PRINCIPE ACTIF EVEROLIMUS",CENTRE HOSPITALIER UNIVERSITAIRE,ABBOTT MEDICAL FRANCE SAS,1035433.0,,2024-12-23
"DMS 2024-01 AO091 Dispositifs Médicaux Stériles à usage unique pour : Angioplastie, radiologie, cardiologie, Implants toutes spécialités et ostéosynthèse, Sutures manuelles et mécaniques, Dispositifs non implantables, housses microscope et microsponges - SONDE DE STIMULATION CARDIAQUE",CENTRE HOSPITALIER UNIVERSITAIRE,ABBOTT MEDICAL FRANCE SAS,3281913.0,,2024-12-23
"DMS 2024-01 AO091 Dispositifs Médicaux Stériles à usage unique pour : Angioplastie, radiologie, cardiologie, Implants toutes spécialités et ostéosynthèse, Sutures manuelles et mécaniques, Dispositifs non implantables, housses microscope et microsponges - MICROCATHETER OVALE DOUBLE LUMIERE DIAMETRE PROXIMAL 3,4F / 2,6F ET DISTAL 3,3F / 2,3F",CENTRE HOSPITALIER UNIVERSITAIRE,BIOTRONIK FRANCE,6000.0,,2024-12-23
"DMS 2024-01 AO091 Dispositifs Médicaux Stériles à usage unique pour : Angioplastie, radiologie, cardiologie, Implants toutes spécialités et ostéosynthèse, Sutures manuelles et mécaniques, Dispositifs non implantables, housses microscope et microsponges - CATHETER DILATATION PERIPHERIQUE",CENTRE HOSPITALIER UNIVERSITAIRE,ABBOTT MEDICAL FRANCE SAS,125000.0,,2024-12-23
"DMS 2024-01 AO091 Dispositifs Médicaux Stériles à usage unique pour : Angioplastie, radiologie, cardiologie, Implants toutes spécialités et ostéosynthèse, Sutures manuelles et mécaniques, Dispositifs non implantables, housses microscope et microsponges - INTRODUCTEUR A VALVE 9F ET 10F - GAINE PELABLE",CENTRE HOSPITALIER UNIVERSITAIRE,ABBOTT MEDICAL FRANCE SAS,12000.0,,2024-12-23
"DMS 2024-01 AO091 Dispositifs Médicaux Stériles à usage unique pour : Angioplastie, radiologie, cardiologie, Implants toutes spécialités et ostéosynthèse, Sutures manuelles et mécaniques, Dispositifs non implantables, housses microscope et microsponges - NEUROSTIMULATEUR MEDULLAIRE IMPLANTABLE",CENTRE HOSPITALIER UNIVERSITAIRE,ABBOTT MEDICAL FRANCE SAS,1848050.0,,2024-12-23
"DMS 2024-01 AO091 Dispositifs Médicaux Stériles à usage unique pour : Angioplastie, radiologie, cardiologie, Implants toutes spécialités et ostéosynthèse, Sutures manuelles et mécaniques, Dispositifs non implantables, housses microscope et microsponges - STIMULATEUR CARDIAQUE SIMPLE CHAMBRE A FREQUENCE ASSERVIE",CENTRE HOSPITALIER UNIVERSITAIRE,ABBOTT MEDICAL FRANCE SAS,1181300.0,,2024-12-23
"DMS 2024-01 AO091 Dispositifs Médicaux Stériles à usage unique pour : Angioplastie, radiologie, cardiologie, Implants toutes spécialités et ostéosynthèse, Sutures manuelles et mécaniques, Dispositifs non implantables, housses microscope et microsponges - SYSTEME DE FERMETURE ARTERIELLE FEMORALE PAR SUTURE POUR HEMOSTASE",CENTRE HOSPITALIER UNIVERSITAIRE,ABBOTT MEDICAL FRANCE SAS,324800.0,,2024-12-23
"DMS 2024-01 AO091 Dispositifs Médicaux Stériles à usage unique pour : Angioplastie, radiologie, cardiologie, Implants toutes spécialités et ostéosynthèse, Sutures manuelles et mécaniques, Dispositifs non implantables, housses microscope et microsponges - STIMULATEUR DOUBLE CHAMBRE A FREQUENCE ASSERVIE",CENTRE HOSPITALIER UNIVERSITAIRE,ABBOTT MEDICAL FRANCE SAS,8651232.0,,2024-12-23
"DMS 2024-01 AO091 Dispositifs Médicaux Stériles à usage unique pour : Angioplastie, radiologie, cardiologie, Implants toutes spécialités et ostéosynthèse, Sutures manuelles et mécaniques, Dispositifs non implantables, housses microscope et microsponges - STIMULATEUR CARDIAQUE DE RESYNCHRONISATION VENTRICULAIRE",CENTRE HOSPITALIER UNIVERSITAIRE,ABBOTT MEDICAL FRANCE SAS,1625262.0,,2024-12-23
"DMS 2024-01 AO091 Dispositifs Médicaux Stériles à usage unique pour : Angioplastie, radiologie, cardiologie, Implants toutes spécialités et ostéosynthèse, Sutures manuelles et mécaniques, Dispositifs non implantables, housses microscope et microsponges - STIMULATEUR CARDIAQUE SIMPLE CHAMBRE, TRANSCATHETER",CENTRE HOSPITALIER UNIVERSITAIRE,ABBOTT MEDICAL FRANCE SAS,955450.0,,2024-12-23
"DMS 2024-01 AO091 Dispositifs Médicaux Stériles à usage unique pour : Angioplastie, radiologie, cardiologie, Implants toutes spécialités et ostéosynthèse, Sutures manuelles et mécaniques, Dispositifs non implantables, housses microscope et microsponges - IMPLANT EXOVASCULAIRE TYPE OMBRELLE",CENTRE HOSPITALIER UNIVERSITAIRE,ABBOTT MEDICAL FRANCE SAS,1197870.0,,2024-12-23
"DMS 2024-01 AO091 Dispositifs Médicaux Stériles à usage unique pour : Angioplastie, radiologie, cardiologie, Implants toutes spécialités et ostéosynthèse, Sutures manuelles et mécaniques, Dispositifs non implantables, housses microscope et microsponges - GUIDE 014IN HYDROPHILE ANGIOPLASTIE CORONAIRE TOUTES LONGUEURS",CENTRE HOSPITALIER UNIVERSITAIRE,ABBOTT MEDICAL FRANCE SAS,405240.0,,2024-12-23
"DMS 2024-01 AO091 Dispositifs Médicaux Stériles à usage unique pour : Angioplastie, radiologie, cardiologie, Implants toutes spécialités et ostéosynthèse, Sutures manuelles et mécaniques, Dispositifs non implantables, housses microscope et microsponges - CONDUIT AVEC VALVE AORTIQUE DOUBLE AILETTE",CENTRE HOSPITALIER UNIVERSITAIRE,ABBOTT MEDICAL FRANCE SAS,33003.0,,2024-12-23
"DMS 2024-01 AO091 Dispositifs Médicaux Stériles à usage unique pour : Angioplastie, radiologie, cardiologie, Implants toutes spécialités et ostéosynthèse, Sutures manuelles et mécaniques, Dispositifs non implantables, housses microscope et microsponges - BIOPROTHESE VALVULAIRE TRANSCUTANEE AORTIQUE",CENTRE HOSPITALIER UNIVERSITAIRE,ABBOTT MEDICAL FRANCE SAS,9706000.0,,2024-12-23
"DMS 2024-01 AO091 Dispositifs Médicaux Stériles à usage unique pour : Angioplastie, radiologie, cardiologie, Implants toutes spécialités et ostéosynthèse, Sutures manuelles et mécaniques, Dispositifs non implantables, housses microscope et microsponges - INTRODUCTEUR A VALVE CATHETER 6F A 9F",CENTRE HOSPITALIER UNIVERSITAIRE,ABBOTT MEDICAL FRANCE SAS,38760.0,,2024-12-23
"DMS 2024-01 AO091 Dispositifs Médicaux Stériles à usage unique pour : Angioplastie, radiologie, cardiologie, Implants toutes spécialités et ostéosynthèse, Sutures manuelles et mécaniques, Dispositifs non implantables, housses microscope et microsponges - SYSTÈME D’EVALUATION INTRA-CORONAIRE ANATOMIQUE",CENTRE HOSPITALIER UNIVERSITAIRE,ABBOTT MEDICAL FRANCE SAS,216000.0,,2024-12-23
"DMS 2024-01 AO091 Dispositifs Médicaux Stériles à usage unique pour : Angioplastie, radiologie, cardiologie, Implants toutes spécialités et ostéosynthèse, Sutures manuelles et mécaniques, Dispositifs non implantables, housses microscope et microsponges - GUIDE 014IN POUR FRANCHISSEMENT D’UNE OCCLUSION CHRONIQUE ANGIOPLASTIE CORONAIRE",CENTRE HOSPITALIER UNIVERSITAIRE,ABBOTT MEDICAL FRANCE SAS,2640.0,,2024-12-23
"DMS 2024-01 AO091 Dispositifs Médicaux Stériles à usage unique pour : Angioplastie, radiologie, cardiologie, Implants toutes spécialités et ostéosynthèse, Sutures manuelles et mécaniques, Dispositifs non implantables, housses microscope et microsponges - VALVE CARDIAQUE DOUBLE AILETTE",CENTRE HOSPITALIER UNIVERSITAIRE,ABBOTT MEDICAL FRANCE SAS,110245.0,,2024-12-23
"DMS 2024-01 AO091 Dispositifs Médicaux Stériles à usage unique pour : Angioplastie, radiologie, cardiologie, Implants toutes spécialités et ostéosynthèse, Sutures manuelles et mécaniques, Dispositifs non implantables, housses microscope et microsponges - SONDE POUR DEFIBRILLATION VENTRICULAIRE DROITE",CENTRE HOSPITALIER UNIVERSITAIRE,ABBOTT MEDICAL FRANCE SAS,803955.0,,2024-12-23
"DMS 2024-01 AO091 Dispositifs Médicaux Stériles à usage unique pour : Angioplastie, radiologie, cardiologie, Implants toutes spécialités et ostéosynthèse, Sutures manuelles et mécaniques, Dispositifs non implantables, housses microscope et microsponges - DEFIBRILLATEUR CARDIAQUE POUR RESYNCHRONISATION",CENTRE HOSPITALIER UNIVERSITAIRE,ABBOTT MEDICAL FRANCE SAS,9571580.0,,2024-12-23
"DMS 2024-01 AO091 Dispositifs Médicaux Stériles à usage unique pour : Angioplastie, radiologie, cardiologie, Implants toutes spécialités et ostéosynthèse, Sutures manuelles et mécaniques, Dispositifs non implantables, housses microscope et microsponges - DEFIBRILLATEUR CARDIAQUE DOUBLE CHAMBRE FREQUENCE ASSERVIE",CENTRE HOSPITALIER UNIVERSITAIRE,ABBOTT MEDICAL FRANCE SAS,3344076.0,,2024-12-23
"DMS 2024-01 AO091 Dispositifs Médicaux Stériles à usage unique pour : Angioplastie, radiologie, cardiologie, Implants toutes spécialités et ostéosynthèse, Sutures manuelles et mécaniques, Dispositifs non implantables, housses microscope et microsponges - DEFIBRILLATEUR CARDIAQUE SIMPLE CHAMBRE FREQUENCE ASSERVIE",CENTRE HOSPITALIER UNIVERSITAIRE,ABBOTT MEDICAL FRANCE SAS,2456873.0,,2024-12-23
Fourniture de dispositifs médicaux implantables pour Orthopédie et Ostéosynthèse - ORT21,CENTRE HOSPITALIER REGIONAL DE MARSEILLE (ASSISTANCE PUBLIQUE-HOPITAUX MARSEILLE),STRYKER FRANCE SA,1790444.0,,2024-12-19
"Fourniture d’implants d’orthopédie, pour prothèses articulaires, pour ostéosynthèse, pour ligamentoplastie, de ciment orthopédique, de greffons et substituts osseux et prêt des ancillaires associés - Lot 110: Ostéosynthèse: Plaque et vis STRYKER ou équivalent ",RESEAU DES ACHETEURS HOSPITALIERS,STRYKER FRANCE SA,192000000.0,suspect,2024-12-10
"Fourniture d’implants d’orthopédie, pour prothèses articulaires, pour ostéosynthèse, pour ligamentoplastie, de ciment orthopédique, de greffons et substituts osseux et prêt des ancillaires associés - Lot 146: Implant Rachis STRYKER ou équivalent",RESEAU DES ACHETEURS HOSPITALIERS,STRYKER FRANCE SA,132000000.0,suspect,2024-12-10
"Fourniture d’implants d’orthopédie, pour prothèses articulaires, pour ostéosynthèse, pour ligamentoplastie, de ciment orthopédique, de greffons et substituts osseux et prêt des ancillaires associés - Lot 112: Ostéosynthèse: Plaque et vis ZIMMER BIOMET ou équivalent ",RESEAU DES ACHETEURS HOSPITALIERS,ZIMMER BIOMET FRANCE,120000000.0,suspect,2024-12-10
FOURNITURE D’IMPLANTS D’ORTHOPEDIE - ORTHOCAT - IMPLANT RACHIS,CENTRE HOSPITALIER UNIVERSITAIRE REIMS,MEDTRONIC FRANCE,213695.0,,2024-12-10
"Fourniture d’implants d’orthopédie, pour prothèses articulaires, pour ostéosynthèse, pour ligamentoplastie, de ciment orthopédique, de greffons et substituts osseux et prêt des ancillaires associés - Lot 139: Implant Rachis MEDTRONIC ou équivalent",RESEAU DES ACHETEURS HOSPITALIERS,MEDTRONIC FRANCE,210000000.0,suspect,2024-12-10
Fourniture de DM - implant sphinctérien périurétral hydraulique,CENTRE HOSPITALIER UNIVERSITAIRE ROUEN (HOPITAL CHARLES NICOLLE CHU ROUEN),BOSTON SCIENTIFIC,700000.0,,2024-12-09
FOURNITURE D’IMPLANTS D’ORTHOPÉDIE - ORTHOCAT - OSTÉOSYNTHÈSE: PLAQUE ET VIS CRÂNIO MAXILLO-FACIALE,CENTRE HOSPITALIER UNIVERSITAIRE REIMS,STRYKER FRANCE SA,1070988.0,,2024-12-06
FOURNITURE D’IMPLANTS D’ORTHOPÉDIE - ORTHOCAT - PROTHÈSE ORTEIL/CHEVILLE/PIED,CENTRE HOSPITALIER UNIVERSITAIRE REIMS,STRYKER FRANCE SA,122971.0,,2024-12-06
FOURNITURE D’IMPLANTS D’ORTHOPÉDIE - ORTHOCAT - PROTHÈSE COUDE/DOIGT/POIGNET/MAIN,CENTRE HOSPITALIER UNIVERSITAIRE REIMS,STRYKER FRANCE SA,199444.9,,2024-12-06
